name,year,term,subjects,marks
Johnathan Skinner,2026,Term 1,"Database,Machine Learning,Python","76,91,81"
Daniel Anderson,2024,Term 3,"Security,Machine Learning,DevOps","95,93,96"
Kimberly Wilson,2024,Term 2,"AI,DevOps,Python","78,81,73"
Robert Davis PhD,2026,Term 3,"DevOps,Database,Security","75,87,93"
David Hoffman,2024,Term 2,"Cloud,Networks,DevOps","98,99,74"
Jennifer Scott,2024,Term 1,"Python,Machine Learning,Cloud","72,93,100"
Lori Blackwell,2024,Term 3,"Python,Networks,Security","99,76,81"
Michele Obrien,2026,Term 3,"DevOps,Machine Learning,Networks","93,94,71"
Melissa Fry,2026,Term 3,"Database,AI,Machine Learning","76,93,81"
Jenna Ray,2024,Term 3,"Python,DevOps,Machine Learning","96,79,90"
Nancy Krause,2024,Term 1,"Networks,AI,Python","89,81,81"
Matthew Nicholson,2024,Term 3,"DevOps,Database,Machine Learning","82,99,99"
Donna Larsen,2026,Term 3,"Cloud,AI,Networks","71,98,100"
Lori Daniel,2025,Term 2,"Machine Learning,DevOps,Database","88,93,76"
Emily Haas,2024,Term 3,"Machine Learning,DevOps,Database","93,82,86"
Rebecca Evans,2025,Term 2,"Cloud,Python,Machine Learning","76,80,79"
Mary Cooley,2025,Term 2,"Security,AI,DevOps","77,97,83"
Jonathan Kirk,2026,Term 2,"Networks,AI,DevOps","83,84,89"
Gary Mcdaniel Jr.,2026,Term 2,"Security,AI,DevOps","83,81,70"
Joseph Stone,2024,Term 3,"Machine Learning,Database,Python","73,79,91"
Daniel Donaldson,2024,Term 3,"Database,Security,DevOps","99,97,71"
Charles Bennett,2026,Term 2,"DevOps,Networks,AI","80,70,91"
Patrick Santos,2025,Term 2,"Machine Learning,Networks,Security","89,93,88"
Crystal Fritz,2025,Term 2,"Cloud,AI,DevOps","83,89,94"
Nichole Patterson,2026,Term 1,"Security,AI,Python","82,83,99"
Allison Thompson,2026,Term 1,"AI,Networks,Database","75,81,80"
Carolyn Jones,2025,Term 2,"AI,Security,Python","95,100,98"
Heather Wood,2025,Term 2,"DevOps,Cloud,Database","82,80,100"
Bryan Hammond,2024,Term 1,"DevOps,AI,Python","86,96,100"
Jamie Sandoval,2026,Term 3,"Cloud,Security,DevOps","75,85,89"
Nathaniel Gray,2025,Term 3,"DevOps,Machine Learning,Database","85,93,83"
Keith Sanchez,2026,Term 1,"Networks,Security,Machine Learning","86,88,95"
Tyler Mcdonald,2025,Term 2,"Cloud,Machine Learning,Networks","71,76,74"
Nicole Richardson,2025,Term 3,"Python,Machine Learning,Networks","86,72,77"
Douglas Howard,2025,Term 1,"Machine Learning,Database,Python","81,89,87"
Deborah Morris,2025,Term 1,"Networks,Machine Learning,Database","98,90,96"
Jessica Berry,2026,Term 2,"Security,DevOps,Database","70,77,71"
Ryan Nixon,2025,Term 2,"Database,Networks,Cloud","98,83,92"
Amy Delgado,2026,Term 1,"Networks,Database,Security","77,79,90"
James Marquez,2026,Term 2,"Networks,DevOps,Cloud","100,75,92"
